model_output,ground_truth,top_20_tokens,top_20_probs,match,match_substring
Oval<end_of_turn>,square,"['Oval', 'Star', 'Rectangle', 'Cur', 'Diamond', 'Ellipse', 'Tra', 'Rounded', 'Gr', 'Rect', 'Obl', 'Ell', 'Triangle', 'Curve', 'Mercedes', 'Tri', 'Oct', 'El', 'O', 'C']","tensor([5.0889e-01, 3.6879e-01, 4.4526e-02, 3.5171e-02, 1.9148e-02, 3.4816e-03,
        3.4749e-03, 3.4446e-03, 2.7542e-03, 2.6860e-03, 2.3782e-03, 2.0262e-03,
        6.6177e-04, 6.5455e-04, 2.4841e-04, 1.9291e-04, 1.7725e-04, 1.3857e-04,
        1.2102e-04, 1.0134e-04])",False,False
Hearts<end_of_turn>,heart,"['Hearts', 'Heart', ' hearts', 'Hear', ' Hearts', 'hearts', '**', 'Here', 'He', '❤️', 'Circles', '<start_of_image>', 'Sp', '   ', 'The', '�', '$\\', 'Or', '|', 'H']","tensor([9.9888e-01, 1.1156e-03, 2.3167e-07, 3.1326e-08, 2.5535e-08, 1.9697e-08,
        1.6030e-08, 3.0781e-09, 2.3385e-10, 2.1691e-10, 1.8145e-10, 1.4655e-10,
        1.0822e-10, 4.6292e-11, 1.6073e-11, 1.0172e-11, 8.2090e-12, 8.0177e-12,
        7.5584e-12, 6.1148e-12])",False,True
Round<end_of_turn>,square,"['Round', 'Circular', 'Rounded', 'Oval', 'Rect', 'Strip', 'Square', 'Ell', 'Oct', 'Obl', 'Rid', 'Ann', 'O', 'round', 'Te', 'Radial', 'El', 'Ring', 'Geometric', 'Con']","tensor([9.3113e-01, 5.8525e-02, 4.9498e-03, 4.7579e-03, 5.9766e-04, 2.9835e-05,
        4.1127e-06, 2.5121e-06, 1.4452e-06, 1.0806e-06, 5.1856e-07, 4.7528e-07,
        4.2110e-07, 3.8691e-07, 2.8389e-07, 1.3486e-07, 1.2739e-07, 1.2027e-07,
        1.1090e-07, 9.2625e-08])",False,False
Round<end_of_turn>,square,"['Round', 'Square', 'Circular', 'Rect', 'Oval', 'Rounded', 'Squ', 'Oct', 'White', 'Rectangle', 'Geometric', 'Obl', 'Ir', 'Circle', 'round', 'O', 'S', ' Round', 'Squared', 'As']","tensor([8.8249e-01, 6.3673e-02, 5.2872e-02, 5.1573e-04, 3.9249e-04, 4.7865e-05,
        3.7123e-06, 1.8543e-06, 1.2270e-06, 1.0282e-06, 5.5932e-07, 1.6759e-07,
        1.5806e-07, 1.1243e-07, 1.0083e-07, 8.8648e-08, 8.3716e-08, 7.8975e-08,
        6.4092e-08, 4.3933e-08])",False,False
Star<end_of_turn>,star,"['Star', 'Starburst', 'Flower', 'Maple', 'Pent', 'Six', 'star', '**', 'Aster', ' Star', 'F', 'Stella', 'Start', 'L', 'Sho', 'Here', 'Leaf', 'STAR', 'Hex', 'Blue']","tensor([1.0000e+00, 1.8751e-06, 1.8678e-07, 1.4559e-07, 8.7215e-08, 5.7030e-08,
        3.6418e-08, 2.2703e-08, 2.1039e-08, 1.1206e-08, 1.0934e-08, 7.7630e-09,
        7.1572e-09, 6.6169e-09, 5.5032e-09, 4.8674e-09, 3.9445e-09, 2.6004e-09,
        2.3488e-09, 2.2825e-09])",False,True
Loop.<end_of_turn>,circle,"['Loop', 'Spiral', 'Figure', 'S', 'loop', 'Circle', 'Loops', 'Helix', 'Co', ' loop', ' Loop', 'Circles', 'Curly', 'Loose', 'Sw', 'L', 'Hors', 'Lo', 'Waves', 'C']","tensor([9.9927e-01, 5.6114e-04, 8.1599e-05, 5.0251e-05, 1.2339e-05, 6.0427e-06,
        3.6467e-06, 3.2161e-06, 3.1637e-06, 7.4673e-07, 6.7415e-07, 6.1281e-07,
        4.3614e-07, 3.1240e-07, 2.1864e-07, 2.0236e-07, 1.3435e-07, 1.1228e-07,
        5.3769e-08, 4.8731e-08])",False,False
Rectangular<end_of_turn>,square,"['Rect', 'Rectangle', 'Round', 'Vertical', 'Rounded', 'Square', 'Circular', 'Horizontal', 'Oval', 'Obl', 'rectangular', 'Geometric', 'Strip', 'El', '**', 'O', 'Circle', ' rectangular', 'Tall', ' Rect']","tensor([8.8605e-01, 6.8151e-02, 3.7529e-02, 3.7672e-03, 2.6253e-03, 1.6208e-03,
        1.0832e-04, 9.4727e-05, 2.8113e-05, 1.5201e-05, 6.6136e-06, 2.6596e-06,
        1.1882e-06, 7.4919e-07, 5.9172e-07, 4.6698e-07, 3.2318e-07, 3.0532e-07,
        2.7647e-07, 2.3747e-07])",False,False
Rectangular<end_of_turn>,square,"['Rect', 'Round', 'Oval', 'Rounded', 'Or', 'Rectangle', 'Square', 'Ar', 'Decorative', 'Oct', 'Obl', 'Circular', 'Fram', ' Rect', 'Arch', 'Te', 'Re', 'O', 'Floral', 'Em']","tensor([9.9928e-01, 3.4847e-04, 1.7526e-04, 1.3219e-04, 2.2216e-05, 2.0147e-05,
        1.7478e-05, 3.6369e-06, 1.8650e-06, 1.0814e-06, 2.9506e-07, 2.0785e-07,
        2.0234e-07, 1.0068e-07, 6.4358e-08, 3.5950e-08, 3.1563e-08, 2.9485e-08,
        2.8628e-08, 2.7032e-08])",False,False
Line<end_of_turn>,triangle,"['Line', 'Crack', 'Square', 'Triangle', 'Rectangle', 'Cre', 'Strip', 'Linear', 'Lines', 'C', 'line', 'Joint', 'Rect', 'T', ' Line', 'St', 'Straight', 'Gap', 'Diamond', 'Long']","tensor([9.9994e-01, 5.1979e-05, 1.7289e-06, 1.5762e-06, 1.1418e-06, 9.6402e-07,
        4.2509e-07, 2.9367e-07, 1.1500e-07, 4.5723e-08, 3.0124e-08, 2.8249e-08,
        2.4152e-08, 1.8526e-08, 1.0898e-08, 1.0649e-08, 6.8637e-09, 6.2770e-09,
        3.2098e-09, 2.6683e-09])",False,False
Sail<end_of_turn>,triangle,"['Sail', 'Triangle', 'Fin', 'Tri', 'Diamond', 'Hull', 'Mast', 'C', 'Flag', 'N', 'Delta', ' Sail', 'Y', 'S', 'D', 'Wing', 'sail', 'R', 'M', 'Sp']","tensor([8.8639e-01, 1.1316e-01, 2.8363e-04, 1.1931e-04, 3.6634e-05, 2.1752e-06,
        1.9140e-06, 1.7902e-06, 7.6908e-07, 6.9275e-07, 6.5787e-07, 4.7304e-07,
        3.7401e-07, 3.6859e-07, 2.6432e-07, 1.9724e-07, 1.9111e-07, 1.8771e-07,
        1.2878e-07, 1.2769e-07])",False,False
Curve<end_of_turn>,triangle,"['Curve', 'C', 'Corner', 'Cur', 'Circle', 'Triangle', 'Square', 'Island', 'Arc', 'Intersection', 'Turn', 'Hill', 'Oval', 'Grass', 'Semi', 'Sid', 'Bump', 'Diamond', 'Angle', 'P']","tensor([9.7006e-01, 2.7439e-02, 1.2969e-03, 4.6499e-04, 3.8166e-04, 2.7269e-04,
        4.4722e-05, 1.7757e-05, 3.4618e-06, 3.3921e-06, 3.0264e-06, 1.2627e-06,
        6.5846e-07, 4.4275e-07, 3.6333e-07, 3.4817e-07, 3.3772e-07, 3.2713e-07,
        3.1207e-07, 3.0984e-07])",False,False
Spiral<end_of_turn>,circle,"['Spiral', 'Loop', 'Figure', 'Circle', 'Helix', 'Sw', 'Bow', 'S', 'Co', 'Square', 'Circles', 'Diamond', 'Zig', 'Tw', 'loop', 'Heart', 'Loops', 'Lo', 'W', ' Loop']","tensor([5.0785e-01, 4.7863e-01, 1.0134e-02, 1.8003e-03, 8.0863e-04, 1.0425e-04,
        8.0840e-05, 7.8626e-05, 7.8229e-05, 5.4713e-05, 5.1973e-05, 5.0018e-05,
        4.6182e-05, 4.2751e-05, 3.7956e-05, 1.3503e-05, 1.1782e-05, 1.0722e-05,
        9.7398e-06, 7.7184e-06])",False,False
Round<end_of_turn>,circle,"['Round', 'Circular', 'Circle', 'round', 'Rounded', ' Round', ' round', 'Oval', '**', '圓', 'Circles', ' circular', 'Rounding', 'ROUND', 'circular', 'Flat', '圆形', 'Plate', 'Disc', '圆']","tensor([9.9962e-01, 3.8484e-04, 2.3282e-08, 6.4598e-09, 1.1523e-09, 1.1097e-09,
        8.6651e-10, 1.2581e-10, 8.6415e-11, 8.0669e-12, 4.9220e-12, 2.0317e-12,
        1.5572e-12, 1.3283e-12, 9.5992e-13, 8.1350e-13, 7.7852e-13, 4.2619e-13,
        3.2467e-13, 1.6797e-13])",False,False
Round<end_of_turn>,circle,"['Round', 'Circular', 'Circle', 'Oval', 'Rounded', 'Circles', 'round', 'Disk', 'Pizza', 'Disc', '**', 'Ell', 'O', '圆形', ' round', ' Round', 'Obl', 'S', ' circular', 'circular']","tensor([8.0945e-01, 1.8500e-01, 5.5112e-03, 3.7780e-05, 1.1234e-08, 9.3281e-09,
        2.3334e-09, 2.1844e-09, 1.3717e-09, 1.2386e-09, 1.0163e-09, 9.3030e-10,
        6.1424e-10, 5.4839e-10, 3.0489e-10, 2.6395e-10, 1.3146e-10, 8.2090e-11,
        4.4364e-11, 3.2852e-11])",False,False
Heart<end_of_turn>,heart,"['Heart', 'Here', 'Hearts', 'heart', ' Heart', '**', ' heart', '❤️', 'Hear', 'Shape', '<start_of_image>', '$\\', 'The', 'D', 'A', 'T', '""', '♡', 'Love', 'Okay']","tensor([1.0000e+00, 9.3322e-09, 2.9550e-09, 1.9150e-09, 1.2278e-09, 9.2108e-10,
        2.0788e-10, 1.8636e-10, 1.3002e-10, 5.2935e-11, 1.5288e-11, 3.1266e-12,
        2.2826e-12, 2.2557e-12, 1.1427e-12, 7.1472e-13, 7.0362e-13, 6.0517e-13,
        5.7141e-13, 5.0621e-13])",False,True
Circle.<end_of_turn>,star,"['Circle', 'Diamond', 'Star', 'Bell', 'Flower', 'Pom', 'Floral', 'Heart', 'Round', 'Circular', 'Oval', 'Triangle', 'Stars', 'Cone', 'Diamonds', 'Ball', 'R', 'Circles', 'Sphere', 'Crown']","tensor([4.8061e-01, 3.7587e-01, 1.1443e-01, 1.2366e-02, 5.5856e-03, 1.6281e-03,
        1.3258e-03, 1.2902e-03, 1.1515e-03, 1.1099e-03, 7.4924e-04, 6.8445e-04,
        5.6734e-04, 4.1596e-04, 3.2010e-04, 2.7330e-04, 2.6212e-04, 2.2399e-04,
        2.0192e-04, 1.4534e-04])",False,False
Oval<end_of_turn>,square,"['Oval', 'Rect', 'Rectangle', 'Square', 'Obl', 'Round', 'Rounded', 'Squ', 'Oct', 'O', 'Circular', 'El', ' Oval', 'Te', 'White', 'Offset', 'As', 'Tra', 'S', 'Ir']","tensor([9.6480e-01, 3.0236e-02, 4.1894e-03, 5.9461e-04, 1.1492e-04, 4.4281e-05,
        6.4871e-06, 5.3196e-06, 1.8720e-06, 1.5932e-06, 7.8285e-07, 6.8404e-07,
        3.5109e-07, 1.5715e-07, 1.2428e-07, 9.9645e-08, 7.4850e-08, 7.3291e-08,
        6.1284e-08, 2.1201e-08])",False,False
Heart<end_of_turn>,heart,"['Heart', 'Here', ' Heart', '**', 'Hearts', 'heart', '❤️', ' heart', 'Hear', '<start_of_image>', 'T', 'Pink', 'Love', 'Sweet', 'Shape', 'D', 'Squ', 'P', '""', 'Red']","tensor([1.0000e+00, 9.0008e-08, 2.1359e-08, 1.1089e-08, 1.0962e-08, 7.8299e-09,
        5.4196e-09, 4.3475e-09, 3.1208e-09, 9.0488e-10, 5.6307e-10, 4.4211e-10,
        3.6403e-10, 2.4403e-10, 1.6466e-10, 9.6926e-11, 8.8070e-11, 8.4337e-11,
        7.8579e-11, 7.6755e-11])",False,True
Square<end_of_turn>,circle,"['Square', 'Rectangle', 'Rect', 'Triangle', 'Circle', 'Cube', ' Square', 'Par', 'TV', 'Box', 'square', 'Television', 'Diamond', 'Oval', 'Squ', 'Squares', 'rectangle', 'P', '<start_of_image>', 'Button']","tensor([8.7920e-01, 1.2079e-01, 7.5226e-06, 9.8896e-07, 5.5859e-07, 1.1292e-07,
        6.9000e-08, 6.2815e-08, 6.0358e-08, 5.9359e-08, 4.1723e-08, 3.7703e-08,
        3.6189e-08, 3.6144e-08, 2.5559e-08, 2.5011e-08, 2.0565e-08, 1.9615e-08,
        1.3204e-08, 1.0560e-08])",False,False
Polygons<end_of_turn>,square,"['Pol', 'Oct', 'Geometric', 'Hex', 'Circles', 'Diamond', 'Dots', 'Squares', 'Tiles', 'Diamonds', 'Mosaic', 'Sp', 'Shapes', 'Polygon', 'Pattern', 'Triangle', 'Spe', 'Circle', 'Rect', 'Square']","tensor([5.7682e-01, 3.9929e-01, 1.9961e-02, 3.1378e-03, 2.9350e-04, 1.8725e-04,
        7.8274e-05, 7.1636e-05, 6.8767e-05, 2.5273e-05, 2.1538e-05, 8.2332e-06,
        6.3564e-06, 4.8922e-06, 4.8814e-06, 4.0090e-06, 3.8073e-06, 3.3917e-06,
        1.8220e-06, 1.4130e-06])",False,False
Circle<end_of_turn>,circle,"['Circle', 'Circular', 'Oval', 'Circles', 'Red', 'Diamond', 'Oct', 'Geometric', 'Ell', 'Ellipse', 'Round', 'Cur', 'Triangle', 'Radial', 'Circ', 'Chevron', 'Curve', 'Ann', 'Strip', 'Rounded']","tensor([9.3288e-01, 5.5987e-02, 7.1294e-03, 1.9525e-03, 1.6112e-03, 1.6325e-04,
        7.4855e-05, 5.7656e-05, 2.6145e-05, 2.4882e-05, 1.8380e-05, 1.6922e-05,
        9.0690e-06, 8.8321e-06, 4.0248e-06, 3.8915e-06, 3.4397e-06, 3.1253e-06,
        2.6039e-06, 2.4683e-06])",False,True
Rectangular<end_of_turn>,square,"['Rect', 'Gaz', 'Oct', 'Square', 'Ar', 'G', 'Rectangle', 'Green', 'Geometric', 'Pav', 'Glass', 'Gate', 'Hex', 'Pag', 'Arch', 'Round', 'Arc', 'Dome', 'Tower', 'Circular']","tensor([9.8071e-01, 1.0399e-02, 5.1811e-03, 1.0046e-03, 7.6805e-04, 6.1906e-04,
        2.6584e-04, 2.4010e-04, 1.6078e-04, 1.5327e-04, 1.1980e-04, 1.0150e-04,
        8.6408e-05, 6.3202e-05, 4.7884e-05, 1.0448e-05, 9.3394e-06, 9.1382e-06,
        6.2581e-06, 6.2236e-06])",False,False
Oval<end_of_turn>,circle,"['Oval', 'Ell', 'Round', ' Oval', 'El', 'Circular', 'O', 'Obl', 'Ellipse', 'Ov', 'oval', 'Rounded', 'Oct', 'S', ' oval', '**', 'Sh', 'White', 'Te', '<start_of_image>']","tensor([9.9999e-01, 3.8167e-06, 1.3534e-06, 5.4419e-07, 2.8427e-07, 1.8707e-07,
        1.7612e-07, 8.5848e-08, 4.6527e-08, 1.4745e-08, 1.5639e-09, 7.2666e-10,
        6.4301e-10, 4.3451e-10, 4.1561e-10, 3.0197e-10, 2.4426e-10, 1.0929e-10,
        9.8403e-11, 4.5468e-11])",False,False
Circular<end_of_turn>,circle,"['Circular', 'Round', 'Sph', 'Oval', 'Conc', 'Circle', 'Con', 'Cur', 'Sphere', 'Ell', 'Rounded', 'sph', 'Obl', 'Dome', '**', 'C', 'circular', 'Circles', ' Sph', 'Orb']","tensor([9.8523e-01, 1.3535e-02, 8.7700e-04, 3.4772e-04, 5.4472e-06, 3.5825e-06,
        2.2607e-06, 9.6623e-07, 4.6509e-07, 3.5814e-07, 2.9695e-07, 8.7822e-08,
        3.1077e-08, 3.0843e-08, 3.0732e-08, 1.6881e-08, 7.1793e-09, 6.1802e-09,
        5.6948e-09, 4.9921e-09])",False,False
Round<end_of_turn>,circle,"['Round', 'Circular', 'Circle', 'Oval', 'round', '**', ' round', 'Dish', 'Rounded', ' Round', 'Plate', 'circular', ' circular', 'Circles', 'Disc', 'Disk', '圓', 'O', '圆形', 'Pizza']","tensor([9.5893e-01, 4.1003e-02, 6.8056e-05, 6.9479e-08, 6.8265e-08, 1.1940e-08,
        6.2570e-09, 3.7395e-09, 3.4901e-09, 2.7510e-09, 2.2557e-09, 1.6335e-09,
        6.0379e-10, 2.8778e-10, 2.0840e-10, 6.2094e-11, 5.7543e-11, 4.0366e-11,
        3.5592e-11, 2.9493e-11])",False,False
Square<end_of_turn>,square,"['Square', 'Rect', 'Geometric', 'Quadr', 'Squ', 'Squared', 'Cube', 'Obl', 'Angular', 'C', 'Rectangle', 'Sph', '**', 'Block', 'Rounded', 'Box', 'Te', 'S', 'Cub', 'Tri']","tensor([9.2773e-01, 7.2191e-02, 7.5915e-05, 2.7112e-06, 5.3943e-07, 4.2266e-07,
        1.6979e-07, 1.0719e-07, 7.5040e-08, 7.2642e-08, 6.3039e-08, 6.1832e-08,
        4.2288e-08, 3.6354e-08, 3.2269e-08, 2.4442e-08, 2.3602e-08, 2.1573e-08,
        1.9180e-08, 1.1388e-08])",False,True
Circle<end_of_turn>,circle,"['Circle', 'Circular', 'Round', 'Disc', 'Disk', 'circle', 'Circles', '**', 'Flat', ' circle', 'Circ', ' Circle', 'circular', 'Oval', 'Ann', ' circular', ' Circular', 'round', '圆形', 'Fr']","tensor([7.3650e-01, 2.6287e-01, 5.5965e-04, 7.4987e-05, 2.3732e-06, 7.5478e-08,
        3.6621e-08, 2.7854e-08, 1.0533e-08, 6.0402e-09, 2.4458e-09, 1.9300e-09,
        1.1454e-09, 5.3406e-10, 3.6804e-10, 1.7125e-10, 1.2418e-10, 9.0240e-11,
        6.5973e-11, 5.6720e-11])",False,True
Ring<end_of_turn>,circle,"['Ring', 'Circular', 'Round', 'T', 'Circle', 'Tor', 'Ann', 'Oval', '**', 'Obl', 'O', 'D', 'C', 'R', 'B', 'H', 'Rounded', 'Halo', 'RING', '環']","tensor([4.9763e-01, 3.6135e-01, 1.2770e-01, 5.1385e-03, 3.5244e-03, 3.0080e-03,
        1.5628e-03, 3.9358e-05, 1.7647e-05, 9.2550e-06, 8.4096e-06, 7.8317e-06,
        3.0697e-06, 2.4302e-06, 9.3120e-07, 6.3060e-07, 4.1703e-07, 7.8491e-08,
        6.9182e-08, 6.5470e-08])",False,False
Rectangular<end_of_turn>,square,"['Rect', 'Square', 'Rectangle', 'Obl', 'Ir', 'Squ', 'Geometric', 'Oval', 'Tra', 'As', 'Te', ' Rect', 'Oct', 'Abstract', 'S', 'rectangular', 'Sub', 'El', 'Squared', 'Rounded']","tensor([9.9244e-01, 4.8538e-03, 2.7072e-03, 5.6201e-07, 1.9941e-07, 1.4318e-07,
        4.4509e-08, 4.0504e-08, 3.0866e-08, 3.0777e-08, 2.3489e-08, 1.9333e-08,
        1.0732e-08, 6.6432e-09, 5.1416e-09, 5.1161e-09, 4.1487e-09, 3.4528e-09,
        2.4941e-09, 2.1169e-09])",False,False
Spire<end_of_turn>,triangle,"['Sp', 'Point', 'Py', 'G', 'Tri', 'T', 'Tur', 'Ste', 'Oct', 'Cone', 'S', 'P', 'C', '**', 'Con', 'Spy', 'Square', 'Ob', 'Spiral', 'Fl']","tensor([9.9947e-01, 4.1244e-04, 9.3742e-05, 2.5139e-05, 2.4696e-07, 1.7124e-07,
        5.3614e-08, 2.8778e-08, 2.2805e-08, 1.8565e-08, 1.7648e-08, 1.5283e-08,
        1.4708e-08, 1.3750e-08, 1.0663e-08, 8.1943e-09, 7.4144e-09, 5.3967e-09,
        3.3447e-09, 2.6616e-09])",False,False
Triangle<end_of_turn>,triangle,"['Triangle', 'Tri', 'Circular', 'Tra', '**', ' triangular', ' Triangular', 'Equ', 'Right', 'triangle', 'Rh', ' Triangle', 'Circle', 'Diamond', 'Quadr', 'Red', 'Round', 'Oval', 'Cone', ' triangle']","tensor([8.7158e-01, 1.2842e-01, 6.4515e-07, 8.9106e-08, 3.2185e-08, 1.1011e-08,
        9.2126e-09, 5.8810e-09, 5.4300e-09, 4.8834e-09, 3.4272e-09, 3.0487e-09,
        1.4221e-09, 1.2762e-09, 1.0013e-09, 8.3664e-10, 5.9357e-10, 2.2797e-10,
        1.2784e-10, 1.1498e-10])",False,True
Diamond<end_of_turn>,triangle,"['Diamond', 'Delta', 'Triangle', 'Rh', 'Tri', 'Arrow', '**', 'Del', 'T', 'Py', 'D', 'Quadr', 'K', 'Tet', 'diamond', 'Ch', 'Diamonds', 'Geometric', 'S', 'Δ']","tensor([9.9847e-01, 1.1476e-03, 3.6913e-04, 7.0498e-06, 4.1725e-06, 7.3621e-07,
        1.1312e-07, 1.5806e-08, 1.1455e-08, 7.8356e-09, 6.0396e-09, 4.7110e-09,
        3.1993e-09, 2.1770e-09, 1.5135e-09, 8.3335e-10, 7.6913e-10, 6.3387e-10,
        6.1979e-10, 5.7262e-10])",False,False
Circular<end_of_turn>,circle,"['Circular', 'Round', 'Ar', 'Arch', 'Oval', 'Arc', 'Circle', 'Rounded', 'Cur', '**', ' circular', 'S', 'C', 'Ann', 'Radial', ' Circular', 'circular', 'Ell', 'Sph', 'Circ']","tensor([9.9913e-01, 8.6116e-04, 1.1559e-05, 4.9229e-07, 2.7341e-08, 1.6936e-08,
        1.3793e-08, 1.0911e-08, 6.2016e-09, 1.9605e-09, 2.1031e-10, 1.4280e-10,
        1.0150e-10, 9.2156e-11, 8.3184e-11, 7.5025e-11, 5.5895e-11, 3.6778e-11,
        2.1012e-11, 1.9982e-11])",False,False
