model_output,ground_truth,top_20_tokens,top_20_probs,match
rectangle<|im_end|>,square,"['rectangle', 'square', 'Rectangle', 'Square', 'rect', 'triangle', 'diamond', 'box', 's', 'Rect', 'Triangle', 'oval', 'hex', 'Box', 'oct', 'Diamond', 'paralle', 'circle', 'tr', 'rh']","tensor([6.1419e-01, 2.5603e-01, 3.4650e-02, 2.6986e-02, 1.8547e-02, 1.2747e-02,
        6.8231e-03, 3.2230e-03, 2.3580e-03, 2.2151e-03, 1.7251e-03, 1.7251e-03,
        1.5224e-03, 1.4302e-03, 1.0464e-03, 1.0464e-03, 8.6746e-04, 8.1490e-04,
        7.6553e-04, 5.9619e-04])",False
heart<|im_end|>,heart,"['heart', 'Heart', 'He', 'he', ' Hearts', ' Heart', 'HE', ' heart', '心', ' hearts', 'hear', 'Love', 'H', '""He', 'heartbeat', 'C', 'love', '之心', 'Triangle', '的心']","tensor([5.1089e-01, 4.5086e-01, 2.2447e-02, 1.3615e-02, 6.7784e-04, 5.9819e-04,
        2.8257e-04, 1.8244e-04, 5.5641e-05, 4.0708e-05, 3.5924e-05, 2.7978e-05,
        2.4690e-05, 2.0469e-05, 1.9229e-05, 1.4976e-05, 1.0956e-05, 9.6689e-06,
        5.8645e-06, 5.5092e-06])",False
Round<|im_end|>,square,"['Round', 'Square', 'round', 'Circular', 'Circle', 'oval', 'circle', 'C', 'O', 'square', 'Rectangle', 'c', 'R', 'Rect', 'Plate', 'S', ' Round', 'ROUND', 'ob', 'rectangle']","tensor([6.9759e-01, 8.3315e-02, 7.3525e-02, 5.7261e-02, 3.4731e-02, 1.8590e-02,
        9.9505e-03, 7.7495e-03, 2.5159e-03, 2.2203e-03, 1.1884e-03, 1.1884e-03,
        1.1164e-03, 9.2554e-04, 5.6137e-04, 4.1071e-04, 3.8582e-04, 3.0048e-04,
        2.4911e-04, 2.0652e-04])",False
Square<|im_end|>,square,"['Square', 'Rectangle', 'Rect', 'square', 'rectangle', 'rect', 'S', 'Squared', ' Square', 'oval', '_square', 'O', 'C', 'T', 'Triangle', 'Cube', 'Round', 'Tr', 'squ', 'White']","tensor([9.0095e-01, 4.4856e-02, 3.0829e-02, 1.2851e-02, 6.8789e-03, 1.9708e-03,
        7.2503e-04, 1.2599e-04, 1.2599e-04, 5.2521e-05, 3.8425e-05, 3.3910e-05,
        3.1856e-05, 2.9925e-05, 2.6409e-05, 2.1894e-05, 2.0567e-05, 2.0567e-05,
        2.0567e-05, 1.8151e-05])",False
Star<|im_end|>,star,"['Star', 'star', 'Stars', ' Star', 'P', 'St', 'Five', 'STAR', 'Sun', 'Start', 'S', '_star', 'Snow', '-Star', 'Triangle', 'start', 'C', 'Blue', 'pent', 'F']","tensor([9.5181e-01, 4.7388e-02, 1.7091e-04, 7.1245e-05, 4.3212e-05, 2.9699e-05,
        2.4622e-05, 2.4622e-05, 1.8013e-05, 1.8013e-05, 1.6922e-05, 1.6922e-05,
        1.4934e-05, 1.4934e-05, 1.4029e-05, 9.6419e-06, 9.0577e-06, 9.0577e-06,
        8.5090e-06, 7.0542e-06])",False
circle<|im_end|>,circle,"['circle', 'loop', 'arc', 'U', 'Circle', 'S', 'oval', 'Loop', 'c', 's', 'C', 'snake', 'u', 'coil', 'ring', 'ellipse', 'O', 'hook', 'figure', 'triangle']","tensor([0.4610, 0.2796, 0.0551, 0.0403, 0.0244, 0.0230, 0.0131, 0.0096, 0.0096,
        0.0090, 0.0084, 0.0048, 0.0033, 0.0033, 0.0029, 0.0027, 0.0020, 0.0019,
        0.0017, 0.0015])",False
Rectangle<|im_end|>,square,"['Rectangle', 'rectangle', 'Rect', 'Square', 'rect', 'square', 'O', 'oval', 'T', 'Round', 'R', ' Rectangle', 'round', '矩', 'S', 'ob', 'Long', 'Frame', 'Wall', ' Square']","tensor([4.0516e-01, 2.4574e-01, 1.4905e-01, 9.0405e-02, 6.2134e-02, 2.2858e-02,
        8.4089e-03, 2.9060e-03, 1.5555e-03, 7.3476e-04, 5.7223e-04, 3.6946e-04,
        3.4708e-04, 3.2605e-04, 3.0630e-04, 3.0630e-04, 2.7030e-04, 1.9776e-04,
        1.9776e-04, 1.8578e-04])",False
Square<|im_end|>,square,"['Square', 'Rectangle', 'Rect', 'rectangle', 'square', 'rect', 'O', 'oval', 'Round', 'R', 'Squared', 'S', ' Square', 'round', 'Circular', 'Frame', 'Diamond', 'C', '矩', 'T']","tensor([3.4546e-01, 3.0487e-01, 2.0953e-01, 6.0032e-02, 2.8357e-02, 2.2085e-02,
        7.1698e-03, 5.5839e-03, 4.3487e-03, 2.0542e-03, 9.7033e-04, 9.7033e-04,
        6.6690e-04, 4.8791e-04, 3.3534e-04, 3.1502e-04, 3.1502e-04, 2.6116e-04,
        2.4534e-04, 2.3047e-04])",False
triangle<|im_end|>,triangle,"['triangle', 'V', 'rectangle', 'paralle', 'Triangle', 'v', 'diamond', 'C', 'U', 'c', 'tri', 'oval', 's', 'tr', 'Y', 'line', 'Rectangle', 't', 'rect', 'hex']","tensor([0.5835, 0.1302, 0.0423, 0.0350, 0.0291, 0.0213, 0.0156, 0.0107, 0.0094,
        0.0069, 0.0065, 0.0045, 0.0037, 0.0035, 0.0035, 0.0033, 0.0025, 0.0024,
        0.0024, 0.0024])",False
triangle<|im_end|>,triangle,"['triangle', 'Triangle', 's', 'tri', 'tr', 'none', 'boat', 'rectangle', 'diamond', 'None', 'S', ' triangle', 'n', 't', 'sp', 'point', 'd', '_triangle', 'square', 'no']","tensor([9.4212e-01, 1.5228e-02, 1.1860e-02, 1.0466e-02, 6.3480e-03, 2.6462e-03,
        1.5078e-03, 1.4164e-03, 7.1222e-04, 6.6907e-04, 4.8950e-04, 4.5984e-04,
        3.3643e-04, 2.9690e-04, 2.6201e-04, 2.6201e-04, 2.0405e-04, 1.9169e-04,
        1.5892e-04, 1.4929e-04])",False
triangle<|im_end|>,triangle,"['triangle', 'Triangle', 'V', 'diamond', 'Diamond', 'Delta', 'T', 'v', 'D', 'tri', 'P', 'A', 'Y', 'X', 'paralle', 'Tri', ' triangle', 'd', 'arrow', 'Plus']","tensor([7.6075e-01, 1.9235e-01, 2.0273e-02, 3.3095e-03, 2.5774e-03, 1.4686e-03,
        1.3796e-03, 1.2960e-03, 1.0093e-03, 7.8608e-04, 6.1220e-04, 5.7511e-04,
        5.7511e-04, 5.4026e-04, 5.4026e-04, 4.7678e-04, 4.2076e-04, 2.5520e-04,
        2.5520e-04, 2.1157e-04])",False
loop<|im_end|>,circle,"['loop', 'circle', 'figure', 'coil', 'zig', 'straight', 'ring', 's', 'triangle', 'arc', 'w', 'c', 'snake', 'sw', 'square', 'rectangle', 'oval', 'plug', 'co', 'Circle']","tensor([0.5202, 0.4052, 0.0051, 0.0048, 0.0040, 0.0040, 0.0035, 0.0033, 0.0031,
        0.0023, 0.0023, 0.0019, 0.0016, 0.0016, 0.0013, 0.0013, 0.0012, 0.0012,
        0.0011, 0.0011])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'Circle', 'round', 'circle', 'C', 'oval', 'Square', 'O', '圆形', '圓', ' Round', 'c', 'ROUND', '圆', ' Circle', 'Plate', '(round', 'R', '_round']","tensor([7.9921e-01, 7.4338e-02, 6.5603e-02, 3.9790e-02, 1.1400e-02, 2.5437e-03,
        2.2448e-03, 1.7483e-03, 8.2582e-04, 2.6810e-04, 1.6261e-04, 1.4351e-04,
        1.2664e-04, 1.1176e-04, 1.1176e-04, 8.7041e-05, 7.6813e-05, 6.7787e-05,
        6.3680e-05, 5.6198e-05])",False
Round<|im_end|>,circle,"['Round', 'Circle', 'Circular', 'round', 'circle', 'Hex', 'Ir', 'Pizza', 'Oct', 'hex', 'C', 'oval', 'O', 'Square', 'P', ' Circle', 'Heart', 'Flat', 'He', 'R']","tensor([7.0302e-01, 1.0781e-01, 5.0927e-02, 4.4943e-02, 3.5001e-02, 2.7259e-02,
        4.1803e-03, 3.6891e-03, 3.4656e-03, 2.6990e-03, 2.2376e-03, 1.8550e-03,
        1.1251e-03, 7.7328e-04, 6.8242e-04, 4.4060e-04, 3.6527e-04, 3.2235e-04,
        2.5105e-04, 2.5105e-04])",False
Heart<|im_end|>,heart,"['Heart', 'heart', 'He', ' Heart', 'he', 'HE', ' heart', 'Love', '心', 'H', 'P', 'C', 'heartbeat', 'Circle', 'Round', ' Hearts', 'Square', 'White', '""He', 'Clo']","tensor([9.1438e-01, 8.5051e-02, 2.1082e-04, 1.4489e-04, 6.8443e-05, 3.2330e-05,
        2.8531e-05, 1.4346e-05, 1.0496e-05, 8.1744e-06, 4.3754e-06, 4.1103e-06,
        2.8250e-06, 2.2001e-06, 1.1063e-06, 1.1063e-06, 9.7629e-07, 8.6157e-07,
        8.6157e-07, 8.6157e-07])",False
star<|im_end|>,star,"['star', 'Star', 'stars', 'triangle', 'Stars', 'Triangle', 'pent', 'diamond', 'st', 'Diamond', 'STAR', 'tri', ' Star', 'arrow', 'five', 'hex', ' star', 'Five', 'heart', 'P']","tensor([9.0491e-01, 6.5551e-02, 1.0053e-02, 5.3808e-03, 4.1905e-03, 3.2636e-03,
        1.7469e-03, 9.3504e-04, 4.7017e-04, 3.8978e-04, 3.4398e-04, 2.5166e-04,
        1.0491e-04, 9.8552e-05, 8.1703e-05, 6.3630e-05, 5.2751e-05, 5.2751e-05,
        4.6553e-05, 4.1083e-05])",False
Square<|im_end|>,square,"['Square', 'Rectangle', 'Rect', 'rectangle', 'rect', 'square', 'O', 'oval', 'S', 'Ob', ' Square', 'Triangle', 'ob', 'Squared', 'Long', 'T', '(rect', 'Ir', 'Tr', 'Pl']","tensor([5.3650e-01, 2.8717e-01, 1.0564e-01, 4.4039e-02, 1.2617e-02, 9.8264e-03,
        9.1400e-04, 8.0660e-04, 2.0394e-04, 1.7998e-04, 1.5883e-04, 1.5883e-04,
        1.4017e-04, 1.1620e-04, 1.0916e-04, 9.6334e-05, 7.5025e-05, 7.5025e-05,
        6.2198e-05, 5.4890e-05])",False
heart<|im_end|>,heart,"['heart', 'Heart', 'he', 'triangle', 'He', 'star', 'love', ' Heart', 'circle', 'round', 'rectangle', 'square', 'Square', 'Round', 'oval', 'Star', 'Love', ' heart', 'rect', 'Rectangle']","tensor([8.7998e-01, 9.2749e-02, 1.1077e-02, 1.4992e-03, 1.4083e-03, 1.3230e-03,
        7.5382e-04, 7.5382e-04, 7.0815e-04, 7.0815e-04, 5.8708e-04, 4.0349e-04,
        3.7905e-04, 3.1424e-04, 2.9520e-04, 2.7732e-04, 2.6051e-04, 2.4473e-04,
        2.1597e-04, 2.0289e-04])",False
Square<|im_end|>,circle,"['Square', 'Circle', 'circle', 'Rectangle', 'C', 'Round', 'O', 'Circular', 'oval', 'rectangle', 'square', 'Triangle', 'Rect', 'Arrow', 'S', 'Ellipse', 'Cube', 'Diamond', 'Oct', 'Button']","tensor([0.3716, 0.3280, 0.0444, 0.0444, 0.0444, 0.0269, 0.0223, 0.0197, 0.0064,
        0.0060, 0.0056, 0.0056, 0.0050, 0.0050, 0.0041, 0.0030, 0.0028, 0.0027,
        0.0025, 0.0022])",False
Square<|im_end|>,square,"['Square', 'square', 'Diamond', 'rectangle', 'Rectangle', 'Checker', 'Triangle', 'triangle', 'Cube', 'diamond', 'S', 'Tile', 'cube', 's', 'squ', ' Square', 'circle', 'Check', 'tile', 'check']","tensor([6.3153e-01, 3.3803e-01, 4.2552e-03, 4.2552e-03, 3.5277e-03, 2.5809e-03,
        1.6664e-03, 1.5654e-03, 1.1453e-03, 1.0759e-03, 1.0107e-03, 7.8713e-04,
        6.9464e-04, 5.4099e-04, 5.0821e-04, 4.4849e-04, 3.9580e-04, 3.4929e-04,
        3.2813e-04, 3.2813e-04])",False
circle<|im_end|>,circle,"['circle', 'Circle', 'Diamond', 'C', 'circ', 'round', 'Triangle', 'triangle', 'hex', 'Circular', 'c', 'Round', 'oval', 'diamond', 'Hex', 'square', 'Tri', 'Square', 'ircle', 'oct']","tensor([0.3647, 0.1952, 0.0922, 0.0718, 0.0384, 0.0339, 0.0299, 0.0206, 0.0160,
        0.0160, 0.0160, 0.0141, 0.0117, 0.0091, 0.0059, 0.0036, 0.0028, 0.0028,
        0.0025, 0.0023])",False
square<|im_end|>,square,"['square', 'rectangle', 'Square', 'rect', 'Rect', 'Rectangle', 'round', 'C', 'Round', 'c', 'None', 'unknown', 'none', 'polygon', 'triangle', 'circle', 'Unknown', 'Ir', 'cube', 'oval']","tensor([0.2707, 0.2108, 0.1642, 0.0996, 0.0415, 0.0304, 0.0209, 0.0093, 0.0093,
        0.0082, 0.0060, 0.0047, 0.0044, 0.0044, 0.0041, 0.0041, 0.0032, 0.0032,
        0.0030, 0.0028])",False
Oval<|im_end|>,circle,"['O', 'Round', 'oval', 'Circle', 'Circular', 'Square', 'round', 'circle', 'Rectangle', 'C', 'E', 'Rect', ' Oval', 'ob', 'Ellipse', 'rectangle', 'Ob', 'S', 'square', 'R']","tensor([4.6330e-01, 2.4799e-01, 1.7044e-01, 3.3562e-02, 2.9618e-02, 2.0356e-02,
        1.2347e-02, 4.5421e-03, 4.0084e-03, 1.6709e-03, 1.6709e-03, 1.6709e-03,
        1.3013e-03, 4.7873e-04, 4.7873e-04, 3.7284e-04, 3.2903e-04, 2.9037e-04,
        2.9037e-04, 2.7277e-04])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'round', 'C', 'O', 'Circle', 'oval', 'R', 'Sphere', 'S', 'c', 'ircular', 'circle', ' Round', ' Circular', '圆形', '.round', 'ROUND', 'Ell', 'ell']","tensor([7.1896e-01, 1.8178e-01, 4.0561e-02, 1.4922e-02, 1.3168e-02, 1.1621e-02,
        4.8443e-03, 2.0194e-03, 1.5727e-03, 1.5727e-03, 9.5391e-04, 9.5391e-04,
        5.4352e-04, 4.7966e-04, 4.5059e-04, 3.7356e-04, 3.5092e-04, 3.5092e-04,
        3.2966e-04, 2.9093e-04])",False
Round<|im_end|>,circle,"['Round', 'Circular', 'round', 'Circle', 'circle', 'C', 'oval', '圆形', 'c', '圓', 'Square', 'O', ' Round', 'ircular', 'ROUND', ' Circle', '圆', '(round', 'circ', ' round']","tensor([7.1407e-01, 1.0951e-01, 8.5284e-02, 5.8615e-02, 1.9029e-02, 7.9327e-03,
        8.3610e-04, 5.7464e-04, 5.0712e-04, 5.0712e-04, 3.9494e-04, 2.7144e-04,
        2.3955e-04, 2.3955e-04, 1.6464e-04, 1.6464e-04, 1.4529e-04, 1.4529e-04,
        9.9857e-05, 8.8124e-05])",False
Square<|im_end|>,square,"['Square', 'square', 'rectangle', 'Rectangle', 'rect', 'Rect', 'oval', 'Cube', 'cube', 'O', 'Box', 'S', 'C', 'U', 'box', 'Squared', 'L', 'T', 'squ', 'odd']","tensor([0.6379, 0.1828, 0.0318, 0.0247, 0.0218, 0.0193, 0.0150, 0.0103, 0.0071,
        0.0055, 0.0049, 0.0043, 0.0028, 0.0024, 0.0019, 0.0019, 0.0016, 0.0015,
        0.0010, 0.0008])",False
Round<|im_end|>,circle,"['Round', 'Circle', 'Circular', 'circle', 'round', 'C', 'Disk', 'Disc', 'disc', 'c', 'disk', ' Circle', 'oval', 'ircular', 'circ', '圓', '圆', '圆形', ' Round', 'D']","tensor([3.5051e-01, 3.0932e-01, 1.8761e-01, 7.8208e-02, 3.6943e-02, 1.1994e-02,
        6.4197e-03, 6.4197e-03, 2.0842e-03, 1.6232e-03, 1.4324e-03, 9.8450e-04,
        6.7664e-04, 5.9713e-04, 5.9713e-04, 5.2696e-04, 4.6504e-04, 4.6504e-04,
        3.1962e-04, 2.4892e-04])",False
Round<|im_end|>,circle,"['Round', 'Square', 'Circle', 'round', 'Circular', 'Heart', 'C', 'O', 'circle', 'D', 'Rectangle', 'square', 'Ring', 'oval', 'Don', 'Rect', 'R', 'heart', 'Squared', 'S']","tensor([0.5900, 0.1690, 0.0799, 0.0313, 0.0259, 0.0202, 0.0167, 0.0084, 0.0066,
        0.0051, 0.0040, 0.0040, 0.0035, 0.0027, 0.0026, 0.0019, 0.0016, 0.0010,
        0.0010, 0.0007])",False
Rectangle<|im_end|>,square,"['Rectangle', 'Rect', 'Square', 'rectangle', 'rect', 'Long', 'square', 'O', 'Triangle', 'T', 'Ir', 'Tr', 'S', 'Ob', 'oval', 'ob', '(rect', 'RECT', 'Squared', 'C']","tensor([4.8695e-01, 2.6064e-01, 1.7914e-01, 4.5293e-02, 1.8881e-02, 2.2550e-03,
        1.7562e-03, 5.7016e-04, 3.6812e-04, 3.2486e-04, 2.6932e-04, 2.5300e-04,
        2.2328e-04, 1.8510e-04, 1.6335e-04, 1.2722e-04, 1.1951e-04, 1.1227e-04,
        9.3075e-05, 9.3075e-05])",False
pointed<|im_end|>,triangle,"['point', 'py', 'Point', 'triangle', 'sp', 'cone', 'Triangle', 'Py', 'c', 'con', 'C', 'round', 'sphere', 'd', 'Sphere', 'Sp', 'Tri', 'polygon', 'tri', 'Dom']","tensor([0.2079, 0.1834, 0.1429, 0.0866, 0.0526, 0.0464, 0.0361, 0.0319, 0.0281,
        0.0219, 0.0193, 0.0171, 0.0125, 0.0110, 0.0091, 0.0071, 0.0071, 0.0067,
        0.0052, 0.0046])",False
Triangle<|im_end|>,triangle,"['Triangle', 'triangle', 'circle', 'Circular', 'Circle', 'Round', 'round', 'tri', 'Tri', 'oval', 'Diamond', 'hex', 'C', 'tr', 'Hex', 'c', 'circ', 'Square', 'oct', 'O']","tensor([0.3992, 0.2421, 0.0694, 0.0694, 0.0540, 0.0477, 0.0421, 0.0225, 0.0121,
        0.0094, 0.0083, 0.0017, 0.0017, 0.0008, 0.0008, 0.0007, 0.0006, 0.0006,
        0.0006, 0.0006])",False
Triangle<|im_end|>,triangle,"['Triangle', 'Diamond', 'triangle', 'Tri', 'Delta', 'tri', 'D', 'diamond', 'T', '_triangle', 'Py', 'Triangles', 'Tr', 'Square', 'Arrow', ' Diamond', 'Point', ' Triangle', 'P', 'C']","tensor([8.7446e-01, 5.5902e-02, 5.5902e-02, 5.8920e-03, 2.7832e-03, 1.3147e-03,
        4.8365e-04, 4.8365e-04, 3.7667e-04, 2.5888e-04, 2.5888e-04, 1.4750e-04,
        1.1488e-04, 1.0792e-04, 8.4045e-05, 6.9676e-05, 6.5455e-05, 6.5455e-05,
        6.1489e-05, 5.7764e-05])",False
Circular<|im_end|>,circle,"['Circular', 'Round', 'round', 'Circle', 'circle', 'c', 'C', 'Ar', 'oval', 'ircular', 'sem', 'Arch', 'O', 'semi', ' Circular', '圓', 'Arc', 'Clock', 'circ', ' Circle']","tensor([0.4118, 0.1945, 0.1515, 0.0811, 0.0632, 0.0263, 0.0232, 0.0124, 0.0097,
        0.0019, 0.0016, 0.0013, 0.0012, 0.0009, 0.0008, 0.0008, 0.0007, 0.0007,
        0.0007, 0.0007])",False
Pyramid<|im_end|>,triangle,"['Py', 'py', 'Tri', 'Triangle', 'T', 'P', 'triangle', 'tri', 'Diamond', 'Point', 'Con', 'C', 'con', 'tet', 'Pr', 'Ob', 'Tr', 'PY', 'Tower', 'D']","tensor([4.8931e-01, 2.0398e-01, 1.5886e-01, 7.5039e-02, 2.1499e-02, 1.3040e-02,
        1.3040e-02, 1.0155e-02, 2.5677e-03, 1.3744e-03, 8.8737e-04, 8.3360e-04,
        7.8310e-04, 5.3822e-04, 4.1916e-04, 4.1916e-04, 3.9377e-04, 3.4750e-04,
        3.2644e-04, 2.7063e-04])",False
Round<|im_end|>,circle,"['Round', 'Triangle', 'Square', 'O', 'Black', 'Point', 'N', 'round', 'P', 'Heart', 'Circle', 'B', 'Bullet', 'Rectangle', 'T', 'Te', 'D', 'Tri', 'Star', 'F']","tensor([0.4120, 0.1180, 0.0919, 0.0716, 0.0298, 0.0232, 0.0160, 0.0150, 0.0132,
        0.0117, 0.0085, 0.0085, 0.0080, 0.0080, 0.0071, 0.0071, 0.0063, 0.0059,
        0.0049, 0.0040])",False
rectangle<|im_end|>,square,"['rectangle', 'square', 'Square', 'cube', 'rect', 'Rectangle', 'c', 'Cube', 'C', 'Rect', 'O', 'oct', 'squ', 'oval', '_square', 'box', 'hex', ' Square', 'ottom', '矩']","tensor([5.2774e-01, 3.2009e-01, 4.3319e-02, 3.8229e-02, 2.3187e-02, 2.0463e-02,
        1.0953e-02, 4.0293e-03, 2.7693e-03, 2.1567e-03, 1.6797e-03, 1.1544e-03,
        3.3075e-04, 3.3075e-04, 2.5759e-04, 2.2732e-04, 2.1355e-04, 2.1355e-04,
        2.0061e-04, 1.6631e-04])",False
Triangle.<|im_end|>,triangle,"['Triangle', 'triangle', 'Tri', 'tri', 'Tr', 'Pie', 'Slice', 'Triangles', 'Hex', 'L', 'slice', 'Sector', 'S', 'Con', 'T', 'tr', 'Arc', 'Rectangle', '_triangle', 'Cake']","tensor([8.4679e-01, 7.8764e-02, 6.1341e-02, 3.9214e-03, 1.8523e-03, 8.7499e-04,
        7.7217e-04, 6.0137e-04, 6.0137e-04, 2.6686e-04, 2.5069e-04, 1.8341e-04,
        1.7229e-04, 1.6186e-04, 1.4284e-04, 1.4284e-04, 1.4284e-04, 1.2605e-04,
        1.1124e-04, 1.1124e-04])",False
