model_output,ground_truth,top_20_tokens,top_20_probs,match,match_substring
 rectangle<|im_end|>,square,"['rectangle', 'square', 'round', 'circle', 'triangle', 'rect', 'oval', 'number', 'none', 'arrow', 'd', 'box', 'star', 'hex', 'cur', 'ell', 'tri', 'no', 'tr', 'long']","tensor([0.5304, 0.2450, 0.0511, 0.0345, 0.0275, 0.0216, 0.0182, 0.0036, 0.0034,
        0.0029, 0.0024, 0.0024, 0.0021, 0.0021, 0.0015, 0.0014, 0.0013, 0.0013,
        0.0011, 0.0011])",False,False
 heart<|im_end|>,heart,"['heart', 'he', 'Heart', 'circle', 'triangle', 'hex', 'square', ' heart', ' hearts', 'rectangle', 'round', 'd', 'He', 'circ', ' Hearts', 'oval', 'love', 'tri', '心', 'star']","tensor([9.6529e-01, 1.9763e-02, 3.7574e-03, 2.2421e-03, 1.7120e-03, 9.2267e-04,
        8.0609e-04, 6.5422e-04, 5.6841e-04, 5.6121e-04, 4.9931e-04, 4.4689e-04,
        1.8663e-04, 1.6202e-04, 1.1901e-04, 9.7818e-05, 9.1157e-05, 8.2841e-05,
        7.2905e-05, 6.8825e-05])",False,True
 oval<|im_end|>,square,"['oval', 'round', 'square', 'circle', 'rectangle', 'rect', 'triangle', 'heart', 'd', 'ob', 'rounded', 'c', 'circ', 'oct', 'ell', 'hex', 'b', 'plate', 'p', 'o']","tensor([3.5898e-01, 3.4645e-01, 1.5824e-01, 7.9337e-02, 3.1938e-02, 9.7529e-03,
        2.2672e-03, 1.7181e-03, 9.4691e-04, 7.5186e-04, 6.5542e-04, 6.2853e-04,
        5.8272e-04, 4.8467e-04, 4.6407e-04, 4.0534e-04, 3.0304e-04, 3.0298e-04,
        2.6492e-04, 2.4801e-04])",False,False
 square<|im_end|>,square,"['square', 'rectangle', 'rect', 'oval', 'round', 'circle', 'd', 'triangle', 'heart', 'white', 'hex', 'Square', 'oct', 'ob', 's', ' square', ' rectangle', 'Rectangle', 'long', '-square']","tensor([7.2344e-01, 2.4734e-01, 8.6055e-03, 7.2063e-03, 3.9031e-03, 2.6931e-03,
        8.9550e-04, 8.1040e-04, 5.4816e-04, 4.7903e-04, 4.7148e-04, 4.5294e-04,
        1.8963e-04, 1.7271e-04, 1.4567e-04, 1.4508e-04, 9.7961e-05, 8.0282e-05,
        7.8837e-05, 7.3066e-05])",False,True
 star<|im_end|>,star,"['star', 'triangle', 'stars', 'd', 'circle', 'st', 'cross', 'blue', ' star', '星', 'Star', 'square', 'aster', 'rectangle', 'p', 'round', 'arrow', 'hex', 'pent', 'heart']","tensor([9.9187e-01, 1.9396e-03, 8.3789e-04, 6.5086e-04, 4.9103e-04, 3.0491e-04,
        3.0278e-04, 2.7427e-04, 2.6852e-04, 2.0641e-04, 1.7047e-04, 1.6093e-04,
        1.3676e-04, 9.5864e-05, 9.4473e-05, 9.0757e-05, 8.4290e-05, 7.2185e-05,
        6.7355e-05, 5.1760e-05])",False,True
 circle<|im_end|>,circle,"['circle', 'oval', 'co', 'loop', 'round', 'd', 'c', 'heart', 'rectangle', 'o', 's', 'square', 'half', 'st', 'sem', 'circ', 'l', 'ring', 'triangle', 'figure']","tensor([0.7296, 0.0378, 0.0310, 0.0198, 0.0163, 0.0138, 0.0133, 0.0117, 0.0107,
        0.0105, 0.0097, 0.0071, 0.0045, 0.0040, 0.0033, 0.0032, 0.0030, 0.0029,
        0.0024, 0.0018])",False,True
 rectangle<|im_end|>,square,"['rectangle', 'square', 'rect', 'oval', 'round', 'vertical', 'Rectangle', 'long', ' rectangular', 'ob', 'triangle', 'Square', 'Rect', 'rounded', 'circle', ' rectangle', 'horizontal', 't', 's', 'ell']","tensor([5.0729e-01, 2.6500e-01, 1.3744e-01, 2.9406e-02, 1.1991e-02, 1.1357e-02,
        3.4061e-03, 2.7299e-03, 1.5006e-03, 1.3477e-03, 1.0702e-03, 1.0121e-03,
        7.9913e-04, 6.6498e-04, 5.9039e-04, 5.6725e-04, 5.1127e-04, 4.5203e-04,
        4.1291e-04, 4.1116e-04])",False,False
 rectangle<|im_end|>,square,"['rectangle', 'square', 'rect', 'oval', 'round', 'Rectangle', 'vertical', 'long', ' rectangular', 'ob', 'circle', 'frame', ' rectangle', 'triangle', 'Square', 'rounded', 'horizontal', 'd', 'ell', 'oct']","tensor([7.9236e-01, 1.2944e-01, 4.5372e-02, 2.2986e-02, 2.3119e-03, 5.5630e-04,
        4.0346e-04, 3.2965e-04, 3.1524e-04, 2.9629e-04, 2.8301e-04, 2.2435e-04,
        1.9435e-04, 1.8215e-04, 1.3636e-04, 1.3391e-04, 1.1992e-04, 1.0129e-04,
        9.1680e-05, 8.1859e-05])",False,False
 triangle<|im_end|>,triangle,"['triangle', 'rectangle', 'square', 'oval', 'circle', 'round', 'd', 'v', 'tri', 'ell', 'line', 'heart', 'tr', 'rect', 'hex', 'o', 'oct', 'c', 'l', 'V']","tensor([0.5475, 0.1276, 0.0842, 0.0604, 0.0236, 0.0235, 0.0216, 0.0092, 0.0089,
        0.0065, 0.0063, 0.0055, 0.0052, 0.0050, 0.0044, 0.0035, 0.0035, 0.0017,
        0.0015, 0.0014])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'square', 'none', 'rectangle', 'circle', 's', 'tri', 'round', 'no', 'oval', 'tr', 'cross', 'rect', 'd', 'boat', '0', 'c', 'long', 't', 'line']","tensor([6.0880e-01, 1.4493e-01, 5.6144e-02, 5.3105e-02, 3.0719e-02, 2.6574e-02,
        2.1123e-02, 7.8907e-03, 5.5940e-03, 4.7358e-03, 3.7981e-03, 3.6470e-03,
        3.1912e-03, 1.9087e-03, 1.4984e-03, 1.0482e-03, 9.2765e-04, 8.2265e-04,
        6.0588e-04, 5.7566e-04])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'circle', 'd', 'v', 'heart', 'round', 'square', 'arrow', 'rectangle', 'star', 'cross', 'stop', 'hex', 'tri', 'tr', 'oval', 'oct', 'V', 'cone', 'a']","tensor([0.8469, 0.0419, 0.0264, 0.0091, 0.0077, 0.0074, 0.0053, 0.0050, 0.0039,
        0.0039, 0.0035, 0.0025, 0.0022, 0.0020, 0.0020, 0.0011, 0.0010, 0.0010,
        0.0010, 0.0009])",False,True
 circle<|im_end|>,circle,"['circle', 'square', 'rectangle', 'str', 's', 'co', 'round', 'loop', 'c', 'oval', 'zig', 'line', 'd', 'k', 't', 'triangle', 'none', 'heart', 'b', 'l']","tensor([0.3677, 0.0761, 0.0489, 0.0362, 0.0343, 0.0255, 0.0236, 0.0234, 0.0229,
        0.0215, 0.0174, 0.0154, 0.0137, 0.0120, 0.0106, 0.0102, 0.0097, 0.0070,
        0.0070, 0.0063])",False,True
 round<|im_end|>,circle,"['round', 'circle', 'oval', 'square', 'rectangle', 'circ', 'c', 'triangle', 'rounded', 'white', 'plate', 'rect', 'd', '圆', 'heart', '圆形', 'ob', 'Round', 'o', 'ell']","tensor([5.1476e-01, 3.8530e-01, 7.9265e-02, 1.0870e-02, 3.6109e-03, 1.0157e-03,
        7.3416e-04, 4.8544e-04, 4.0889e-04, 3.1218e-04, 2.6829e-04, 2.6548e-04,
        2.0749e-04, 1.7230e-04, 1.5900e-04, 9.5582e-05, 7.7929e-05, 7.4985e-05,
        7.2001e-05, 7.1186e-05])",False,False
 round<|im_end|>,circle,"['round', 'circle', 'c', 'Round', 'circ', 'oval', 'square', 'Circle', 'triangle', 'rectangle', 'C', 'O', 'cir', 'p', 'rounded', 'heart', '圆', 'rect', ' circle', '圆形']","tensor([5.4782e-01, 4.0711e-01, 7.3462e-03, 6.6857e-03, 6.5693e-03, 4.2698e-03,
        3.6740e-03, 2.0746e-03, 1.3478e-03, 9.8854e-04, 8.3853e-04, 6.8945e-04,
        6.6478e-04, 6.3597e-04, 5.8476e-04, 4.5653e-04, 3.3214e-04, 2.1747e-04,
        1.8685e-04, 1.7608e-04])",False,False
 heart<|im_end|>,heart,"['heart', 'he', 'circle', ' heart', 'Heart', 'triangle', 'rectangle', 'star', 'hex', 'd', 'oval', 'square', 'round', 'love', '心', 'white', '-heart', 'p', 'heat', 'shape']","tensor([9.9836e-01, 3.8861e-04, 2.7246e-04, 2.1812e-04, 1.3394e-04, 9.8972e-05,
        7.4168e-05, 5.2253e-05, 4.9700e-05, 3.0409e-05, 2.2708e-05, 2.1102e-05,
        2.0299e-05, 1.5530e-05, 1.2597e-05, 1.1643e-05, 9.0591e-06, 5.6906e-06,
        5.3868e-06, 4.0909e-06])",False,True
 star<|im_end|>,star,"['star', 'stars', 'circle', 'triangle', 'st', 'round', 'Star', ' star', '星', 'heart', 'square', 'arrow', 'd', ' stars', 'aster', 'rectangle', 'circ', 'cross', '星星', 'p']","tensor([8.7822e-01, 1.1010e-01, 1.5436e-03, 1.4895e-03, 9.3164e-04, 6.1697e-04,
        5.8700e-04, 4.8022e-04, 4.7814e-04, 4.1752e-04, 3.2594e-04, 2.3446e-04,
        2.2844e-04, 1.9546e-04, 1.6092e-04, 1.4097e-04, 1.1496e-04, 1.0976e-04,
        9.7293e-05, 7.6236e-05])",False,True
 square<|im_end|>,square,"['square', 'rectangle', 'rect', 'oval', 'Square', 'white', 'round', 'triangle', 'd', 'Rectangle', 's', ' rectangle', 'ob', ' square', 'long', ' rectangular', 'hex', '-square', 'sqrt', 'circle']","tensor([5.4491e-01, 4.4157e-01, 8.9292e-03, 1.1142e-03, 4.6235e-04, 4.4976e-04,
        2.6432e-04, 2.1431e-04, 1.7714e-04, 1.6942e-04, 1.2065e-04, 1.0832e-04,
        9.6437e-05, 9.5803e-05, 7.8295e-05, 7.5692e-05, 6.7076e-05, 6.3377e-05,
        6.2827e-05, 5.0823e-05])",False,True
 heart<|im_end|>,heart,"['heart', 'circle', 'round', 'red', 'rectangle', 'none', 'he', 'oval', 'star', 'square', 'triangle', 'circ', 'd', ' heart', 'hex', 'flower', 'sun', 'c', 'dog', 'no']","tensor([8.9892e-01, 5.4362e-02, 1.3268e-02, 4.4959e-03, 4.4266e-03, 3.5307e-03,
        2.2949e-03, 2.1250e-03, 1.9222e-03, 1.2263e-03, 1.1233e-03, 8.9903e-04,
        8.7764e-04, 8.2668e-04, 4.0467e-04, 3.4823e-04, 2.8318e-04, 2.6918e-04,
        2.5420e-04, 2.2999e-04])",False,True
 circle<|im_end|>,circle,"['circle', 'O', 'triangle', 'Circle', 'Square', 'round', 'Triangle', 'Round', 'D', 'square', 'hex', 'C', 'rectangle', 'd', 'Hex', 'Rectangle', 'oval', 'oct', 'Oct', 'A']","tensor([0.4837, 0.0842, 0.0828, 0.0554, 0.0341, 0.0331, 0.0246, 0.0186, 0.0183,
        0.0161, 0.0111, 0.0086, 0.0077, 0.0070, 0.0061, 0.0058, 0.0057, 0.0039,
        0.0029, 0.0028])",False,True
 square<|im_end|>,square,"['square', 'check', 'd', 's', 'rectangle', 'che', 'circle', 'triangle', 'tile', 'hex', 'none', 'ch', 'black', 'cross', 'Square', 'cube', 'rect', ' squares', 'di', 'sqrt']","tensor([8.0345e-01, 1.0141e-01, 3.7433e-02, 1.6490e-02, 1.3095e-02, 3.0257e-03,
        2.7824e-03, 2.1754e-03, 1.5443e-03, 1.1730e-03, 8.0633e-04, 7.6977e-04,
        7.2060e-04, 7.1638e-04, 6.8385e-04, 4.1195e-04, 3.3376e-04, 3.1170e-04,
        2.9789e-04, 2.5083e-04])",False,True
 triangle<|im_end|>,circle,"['triangle', 'd', 'oct', 'square', 'circle', 'rectangle', 'tri', 'hex', 'round', 'star', 'circ', 'he', 'oval', 'rect', 'pent', 'tr', 'p', 'zig', 'cone', 'c']","tensor([0.3933, 0.2290, 0.0788, 0.0668, 0.0653, 0.0335, 0.0267, 0.0248, 0.0199,
        0.0054, 0.0039, 0.0033, 0.0033, 0.0032, 0.0030, 0.0025, 0.0022, 0.0020,
        0.0015, 0.0013])",False,False
 round<|im_end|>,square,"['round', 'square', 'rectangle', 'circle', 'arch', 'oval', 'rect', 'triangle', 'c', 'arc', 'd', 'none', 'rounded', 'hex', 'oct', 'half', 'cur', 'no', 'sem', 'tri']","tensor([0.3308, 0.2328, 0.1324, 0.0713, 0.0622, 0.0258, 0.0209, 0.0100, 0.0087,
        0.0083, 0.0081, 0.0063, 0.0055, 0.0040, 0.0037, 0.0036, 0.0032, 0.0023,
        0.0021, 0.0020])",False,False
 round<|im_end|>,circle,"['round', 'circle', 'oval', 'square', 'rectangle', 'circ', 'c', 'white', 'rounded', '圆', 'triangle', '圆形', 'rect', 'd', 'Round', 'plate', ' circular', ' round', 'heart', 'cir']","tensor([4.9791e-01, 4.6995e-01, 2.1371e-02, 4.7475e-03, 1.5660e-03, 1.0113e-03,
        8.0014e-04, 3.6842e-04, 2.6179e-04, 2.4618e-04, 2.1678e-04, 1.2882e-04,
        1.0200e-04, 7.0618e-05, 6.9540e-05, 6.1703e-05, 5.9140e-05, 5.1026e-05,
        4.6848e-05, 3.7803e-05])",False,False
 oval<|im_end|>,circle,"['oval', 'round', 'circle', 'c', 'rectangle', 'square', 'circ', 'rounded', 'ell', 'o', 'rect', 'triangle', 'cur', 'd', 'heart', 'ob', 'oct', '圆', 'half', 'ov']","tensor([3.8179e-01, 3.1707e-01, 2.7820e-01, 5.6053e-03, 2.7254e-03, 2.5212e-03,
        1.4582e-03, 1.3647e-03, 7.9336e-04, 6.2641e-04, 4.3063e-04, 4.2853e-04,
        3.8493e-04, 3.5731e-04, 2.6998e-04, 2.3121e-04, 2.2128e-04, 2.1985e-04,
        1.6167e-04, 1.5908e-04])",False,False
 round<|im_end|>,circle,"['round', 'circle', 'oval', 'square', 'c', 'plate', 'circ', 'rectangle', 'triangle', 'rounded', '圆', 'white', '圆形', 'rect', ' circular', 'Round', 'heart', 'cir', 'd', 'pl']","tensor([5.7494e-01, 4.0131e-01, 1.0371e-02, 3.8631e-03, 2.8220e-03, 1.4263e-03,
        1.4101e-03, 5.1714e-04, 3.4414e-04, 2.7621e-04, 2.2922e-04, 1.5662e-04,
        1.1577e-04, 1.1257e-04, 1.0246e-04, 1.0009e-04, 8.0022e-05, 7.2996e-05,
        7.2101e-05, 6.7977e-05])",False,False
 square<|im_end|>,square,"['square', 'rectangle', 'rect', 'box', 'cube', 'oval', 's', 'hex', 'oct', 'round', 'c', 'triangle', 'd', 'Square', 'circle', 'ob', 'white', ' square', 'tri', 'b']","tensor([8.8142e-01, 7.4598e-02, 8.8520e-03, 7.1230e-03, 4.4623e-03, 3.7420e-03,
        2.4885e-03, 1.7012e-03, 1.5809e-03, 1.3299e-03, 1.1923e-03, 1.1216e-03,
        8.3961e-04, 7.1439e-04, 4.4941e-04, 2.6069e-04, 1.9889e-04, 1.9327e-04,
        1.6693e-04, 1.5807e-04])",False,True
 circle<|im_end|>,circle,"['circle', 'round', 'oval', 'disc', 'circ', 'c', 'd', 'triangle', 'square', 'disk', 'rectangle', 'rounded', 'orange', '圆', 'heart', 'ring', 'cone', 'ell', 'hex', 'oct']","tensor([5.1474e-01, 4.6565e-01, 4.3151e-03, 3.3887e-03, 2.2221e-03, 1.0297e-03,
        8.8340e-04, 8.7195e-04, 7.9381e-04, 6.0022e-04, 3.9730e-04, 3.7992e-04,
        3.0788e-04, 2.1156e-04, 2.0987e-04, 1.3625e-04, 1.2161e-04, 1.2082e-04,
        1.1671e-04, 1.1322e-04])",False,True
 round<|im_end|>,circle,"['round', 'square', 'rect', 'circle', 'oval', 'd', 'tri', 'heart', 'ring', 'don', 'c', 'rectangle', 'ob', 'Round', 'rounded', 'triangle', 'Square', 'hex', 'oct', 'circ']","tensor([7.7867e-01, 1.0071e-01, 3.6327e-02, 1.8078e-02, 8.7802e-03, 7.4435e-03,
        6.9872e-03, 6.5637e-03, 5.7096e-03, 4.6084e-03, 3.2489e-03, 2.9728e-03,
        1.6148e-03, 1.4866e-03, 1.3722e-03, 1.3256e-03, 8.1685e-04, 6.4366e-04,
        5.8718e-04, 5.6611e-04])",False,False
 square<|im_end|>,square,"['square', 'rectangle', 'rect', 'round', 'Square', 'Rectangle', 'oval', 'white', 'triangle', 'Rect', 'circle', ' rectangular', 'long', ' square', '-square', 'hex', 'Round', 's', 'ob', 'tri']","tensor([7.9300e-01, 1.4629e-01, 2.0913e-02, 1.2354e-02, 1.1960e-02, 2.9207e-03,
        2.6016e-03, 1.8667e-03, 1.1506e-03, 1.1110e-03, 4.0617e-04, 3.5124e-04,
        3.3573e-04, 3.2634e-04, 1.9396e-04, 1.7644e-04, 1.7357e-04, 1.6991e-04,
        1.5191e-04, 1.4616e-04])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'py', 'point', 'square', 'cone', 'oct', 'tri', 'hex', 'round', 'd', 'sp', 'rectangle', 'tr', 'circle', 'ro', 'con', 'p', 't', 'cross', 'pent']","tensor([0.6364, 0.1562, 0.0492, 0.0360, 0.0250, 0.0180, 0.0156, 0.0122, 0.0064,
        0.0051, 0.0035, 0.0033, 0.0029, 0.0028, 0.0022, 0.0017, 0.0014, 0.0011,
        0.0010, 0.0009])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'd', 'circle', 'tri', 'round', 'rectangle', 'tr', 'square', 'hex', 'oct', 'cone', 'oval', 'circ', 'rect', 't', 'c', 'Triangle', 'p', 'rounded', ' triangle']","tensor([7.7762e-01, 6.7459e-02, 5.1634e-02, 3.3408e-02, 2.0023e-02, 1.2076e-02,
        9.5569e-03, 6.8502e-03, 3.0402e-03, 2.2927e-03, 1.3482e-03, 8.5645e-04,
        7.7249e-04, 6.8214e-04, 6.2692e-04, 5.4748e-04, 5.4677e-04, 3.1370e-04,
        2.8730e-04, 2.8193e-04])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'd', 'square', 'tri', 'hex', 'rectangle', 'k', 'star', 'oct', 'tr', 'rh', 'pent', 'di', 't', 'qu', 'round', 's', 'rect', 'par', 'p']","tensor([0.5615, 0.3463, 0.0219, 0.0112, 0.0092, 0.0063, 0.0053, 0.0041, 0.0041,
        0.0031, 0.0021, 0.0016, 0.0012, 0.0011, 0.0008, 0.0008, 0.0007, 0.0006,
        0.0006, 0.0006])",False,True
 circle<|im_end|>,circle,"['circle', 'round', 'oval', 'c', 'd', 'circ', 'oct', 'hex', 'square', 'rounded', 'arch', 'half', 'triangle', 'arc', 'o', 'rectangle', 'sem', '圆', 'ell', 'heart']","tensor([4.8644e-01, 4.3356e-01, 2.2381e-02, 2.0238e-02, 5.0176e-03, 4.8284e-03,
        4.6217e-03, 3.0210e-03, 2.3198e-03, 1.7795e-03, 1.2666e-03, 1.0599e-03,
        1.0074e-03, 7.3865e-04, 6.6321e-04, 5.8626e-04, 4.7112e-04, 4.1063e-04,
        3.6562e-04, 2.9949e-04])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'Triangle', 'tri', 'Tri', 'py', 'Py', 'T', 'tr', 'd', 't', 'Square', 'cone', 'square', 'D', 'point', 'trip', 'Point', 'Rectangle', ' triangle', 'C']","tensor([0.5303, 0.1437, 0.1258, 0.0745, 0.0477, 0.0235, 0.0099, 0.0061, 0.0026,
        0.0024, 0.0023, 0.0019, 0.0017, 0.0011, 0.0011, 0.0009, 0.0008, 0.0007,
        0.0006, 0.0006])",False,True
 oval<|im_end|>,circle,"['oval', 'circle', 'round', 'triangle', 'black', 'tri', 'heart', 'o', 'circ', 'tr', 'oct', 'ob', 'square', 'c', 'd', 'rectangle', 'ell', 'cone', 'b', 'p']","tensor([5.7119e-01, 1.4001e-01, 1.1636e-01, 1.0952e-01, 2.3423e-02, 8.2371e-03,
        7.4596e-03, 2.8181e-03, 1.6168e-03, 1.0802e-03, 9.6598e-04, 9.5936e-04,
        9.2472e-04, 8.8958e-04, 8.7475e-04, 7.6394e-04, 6.0133e-04, 5.4796e-04,
        5.3052e-04, 3.7025e-04])",False,False
 square<|im_end|>,square,"['square', 'rectangle', 'rect', 'oval', 'round', 'circle', 'box', 'Square', 'triangle', 's', 'oct', 'c', 'cube', 'd', 'hex', 'Rectangle', 'rounded', 'ob', ' rectangular', ' square']","tensor([7.6914e-01, 1.8730e-01, 1.3412e-02, 7.6824e-03, 7.1573e-03, 2.2772e-03,
        2.2272e-03, 1.2762e-03, 9.5453e-04, 8.6886e-04, 7.6034e-04, 5.1966e-04,
        4.8717e-04, 4.2028e-04, 3.6111e-04, 2.6671e-04, 2.1113e-04, 2.0569e-04,
        1.7075e-04, 1.5042e-04])",False,True
 triangle<|im_end|>,triangle,"['triangle', 'square', 'round', 'tri', 'rectangle', 'rect', 'Square', 'Triangle', 'Rect', 'circle', 'Rectangle', 'p', 'Tri', 'heart', 'tr', 'oct', 'hex', 'Round', 'slice', 'pie']","tensor([0.4706, 0.2843, 0.0741, 0.0601, 0.0261, 0.0184, 0.0160, 0.0048, 0.0044,
        0.0033, 0.0031, 0.0027, 0.0025, 0.0023, 0.0019, 0.0014, 0.0014, 0.0012,
        0.0011, 0.0011])",False,True
 Triangle<|im_end|>,triangle,"['Triangle', 'Tri', 'The', 'Square', 'triangle', 'Rectangle', 'Rect', 'S', 'Qu', 'tri', 'D', 'W', 'square', 'T', 'B', 'Hex', 'Into', 'P', 'It', ' triangles']","tensor([0.4899, 0.1638, 0.1410, 0.0577, 0.0576, 0.0219, 0.0129, 0.0118, 0.0047,
        0.0035, 0.0035, 0.0032, 0.0024, 0.0013, 0.0012, 0.0011, 0.0009, 0.0009,
        0.0009, 0.0007])",False,True
