,ID,N_STENCILS,HUE_INDEX_A,HUE_INDEX_B,HUE_INDEX_C,HUE_INDEX_D,HUE_INDEX_E,HUE_INDEX_F,HUE_INDEX_G,HUE_INDEX_H,HUE_INDEX_I,HUE_INDEX_J,HUE_INDEX_K,HUE_INDEX_L,TARGET_HUE_INDEX,correct_answer,HUE_INDEX_A_sim,HUE_INDEX_B_sim,HUE_INDEX_C_sim,HUE_INDEX_D_sim,HUE_INDEX_E_sim,HUE_INDEX_F_sim,HUE_INDEX_G_sim,HUE_INDEX_H_sim,HUE_INDEX_I_sim,HUE_INDEX_J_sim,HUE_INDEX_K_sim,HUE_INDEX_L_sim
10,0010,4,53,88,0,65,-1,-1,-1,-1,-1,-1,-1,-1,43,A,0.8,0.0999999999999999,0.1399999999999999,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0011,4,3,76,80,70,-1,-1,-1,-1,-1,-1,-1,-1,53,D,0.0,0.5399999999999999,0.4600000000000001,0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0012,4,78,19,12,97,-1,-1,-1,-1,-1,-1,-1,-1,13,C,0.3,0.88,0.98,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0013,4,63,74,98,9,-1,-1,-1,-1,-1,-1,-1,-1,81,B,0.6399999999999999,0.8600000000000001,0.6600000000000001,0.4400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0014,4,51,40,2,91,-1,-1,-1,-1,-1,-1,-1,-1,0,C,0.02,0.1999999999999999,0.96,0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0015,4,61,32,46,71,-1,-1,-1,-1,-1,-1,-1,-1,76,D,0.6999999999999998,0.1199999999999997,0.3999999999999998,0.8999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0016,4,5,88,34,74,-1,-1,-1,-1,-1,-1,-1,-1,78,D,0.4600000000000001,0.8,0.12,0.9200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0017,4,14,29,27,29,-1,-1,-1,-1,-1,-1,-1,-1,55,D,0.18,0.48,0.44,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0018,4,44,85,70,69,-1,-1,-1,-1,-1,-1,-1,-1,48,A,0.92,0.26,0.56,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0019,4,26,35,53,12,-1,-1,-1,-1,-1,-1,-1,-1,4,D,0.56,0.38,0.02,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0020,4,52,70,44,21,-1,-1,-1,-1,-1,-1,-1,-1,84,B,0.3599999999999999,0.7199999999999998,0.1999999999999998,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0021,4,28,87,24,13,-1,-1,-1,-1,-1,-1,-1,-1,51,A,0.54,0.28,0.4600000000000001,0.2400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0022,4,20,2,0,53,-1,-1,-1,-1,-1,-1,-1,-1,24,A,0.92,0.56,0.52,0.4199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0023,4,89,4,51,27,-1,-1,-1,-1,-1,-1,-1,-1,12,B,0.5400000000000003,0.84,0.22,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0024,4,97,45,17,9,-1,-1,-1,-1,-1,-1,-1,-1,72,A,0.5,0.4600000000000001,0.0999999999999999,0.2599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0025,4,14,59,94,60,-1,-1,-1,-1,-1,-1,-1,-1,50,B,0.28,0.82,0.1199999999999997,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0026,4,93,79,62,74,-1,-1,-1,-1,-1,-1,-1,-1,92,A,0.98,0.7400000000000002,0.4000000000000001,0.6400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0027,4,24,75,77,57,-1,-1,-1,-1,-1,-1,-1,-1,2,A,0.56,0.4600000000000001,0.5,0.1000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0028,4,69,31,98,32,-1,-1,-1,-1,-1,-1,-1,-1,49,D,0.6,0.64,0.02,0.6599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0029,4,59,94,74,70,-1,-1,-1,-1,-1,-1,-1,-1,61,A,0.96,0.3399999999999997,0.7399999999999998,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0030,4,37,49,79,44,-1,-1,-1,-1,-1,-1,-1,-1,93,C,0.12,0.12,0.7200000000000002,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0031,4,31,76,40,65,-1,-1,-1,-1,-1,-1,-1,-1,40,C,0.8200000000000001,0.2799999999999999,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0032,4,60,19,63,62,-1,-1,-1,-1,-1,-1,-1,-1,2,B,0.16,0.6599999999999999,0.22,0.2000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0033,4,63,32,20,61,-1,-1,-1,-1,-1,-1,-1,-1,96,C,0.3399999999999999,0.2800000000000001,0.5200000000000001,0.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0034,4,52,90,10,83,-1,-1,-1,-1,-1,-1,-1,-1,33,A,0.6199999999999999,0.1399999999999999,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0035,4,55,79,38,66,-1,-1,-1,-1,-1,-1,-1,-1,47,A,0.8400000000000001,0.3599999999999999,0.82,0.6200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0036,4,2,21,23,67,-1,-1,-1,-1,-1,-1,-1,-1,48,D,0.0799999999999998,0.4599999999999999,0.4999999999999999,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0037,4,0,16,62,34,-1,-1,-1,-1,-1,-1,-1,-1,90,A,0.8,0.4799999999999998,0.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0038,4,39,25,42,73,-1,-1,-1,-1,-1,-1,-1,-1,7,B,0.36,0.64,0.2999999999999999,0.3200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0039,4,76,1,6,83,-1,-1,-1,-1,-1,-1,-1,-1,68,A,0.84,0.3400000000000001,0.2400000000000001,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0040,4,57,66,64,74,-1,-1,-1,-1,-1,-1,-1,-1,81,D,0.52,0.6999999999999998,0.6599999999999999,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0041,4,96,88,16,45,-1,-1,-1,-1,-1,-1,-1,-1,21,C,0.5,0.3399999999999999,0.8999999999999999,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0042,4,98,25,96,33,-1,-1,-1,-1,-1,-1,-1,-1,44,D,0.08,0.62,0.0400000000000001,0.7799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0043,4,83,87,35,55,-1,-1,-1,-1,-1,-1,-1,-1,89,B,0.8799999999999999,0.9599999999999996,0.0800000000000001,0.3199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0044,4,38,30,45,3,-1,-1,-1,-1,-1,-1,-1,-1,10,D,0.4399999999999999,0.6,0.3,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0045,4,86,65,45,11,-1,-1,-1,-1,-1,-1,-1,-1,18,D,0.3600000000000001,0.06,0.4599999999999999,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0046,4,87,82,64,98,-1,-1,-1,-1,-1,-1,-1,-1,88,A,0.98,0.8799999999999999,0.52,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0047,4,58,33,33,9,-1,-1,-1,-1,-1,-1,-1,-1,17,D,0.1799999999999998,0.68,0.68,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0048,4,58,93,28,5,-1,-1,-1,-1,-1,-1,-1,-1,2,D,0.1200000000000001,0.8200000000000001,0.48,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0049,4,73,29,20,66,-1,-1,-1,-1,-1,-1,-1,-1,98,C,0.5,0.38,0.56,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0050,4,89,97,48,15,-1,-1,-1,-1,-1,-1,-1,-1,35,C,0.0800000000000001,0.24,0.74,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0051,4,23,23,94,14,-1,-1,-1,-1,-1,-1,-1,-1,57,B,0.3199999999999998,0.3199999999999998,0.2599999999999999,0.1399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0052,4,8,68,35,6,-1,-1,-1,-1,-1,-1,-1,-1,48,C,0.1999999999999999,0.6,0.74,0.1599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0053,4,10,64,70,35,-1,-1,-1,-1,-1,-1,-1,-1,32,D,0.56,0.36,0.24,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0054,4,51,87,91,86,-1,-1,-1,-1,-1,-1,-1,-1,79,D,0.4399999999999997,0.8400000000000003,0.76,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0055,4,92,88,26,40,-1,-1,-1,-1,-1,-1,-1,-1,70,B,0.56,0.6399999999999999,0.1200000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0056,4,26,75,25,50,-1,-1,-1,-1,-1,-1,-1,-1,85,B,0.1799999999999998,0.8,0.1999999999999999,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0057,4,43,36,90,22,-1,-1,-1,-1,-1,-1,-1,-1,28,D,0.7,0.8400000000000001,0.24,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0058,4,76,0,35,98,-1,-1,-1,-1,-1,-1,-1,-1,54,C,0.5599999999999998,0.08,0.62,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0059,4,63,91,42,0,-1,-1,-1,-1,-1,-1,-1,-1,89,B,0.4799999999999998,0.96,0.0599999999999999,0.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0060,4,5,77,76,14,-1,-1,-1,-1,-1,-1,-1,-1,90,B,0.7,0.74,0.7200000000000002,0.5200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0061,4,16,59,13,89,-1,-1,-1,-1,-1,-1,-1,-1,47,B,0.3799999999999999,0.76,0.3199999999999999,0.1599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0062,4,45,87,71,78,-1,-1,-1,-1,-1,-1,-1,-1,54,A,0.82,0.3400000000000001,0.6600000000000001,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0063,4,90,67,73,18,-1,-1,-1,-1,-1,-1,-1,-1,75,C,0.7,0.8400000000000001,0.96,0.1399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0064,4,2,7,24,57,-1,-1,-1,-1,-1,-1,-1,-1,43,D,0.1799999999999998,0.2799999999999999,0.62,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0065,4,65,28,2,88,-1,-1,-1,-1,-1,-1,-1,-1,72,A,0.8600000000000001,0.1200000000000001,0.4,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0066,4,71,24,90,92,-1,-1,-1,-1,-1,-1,-1,-1,1,D,0.4,0.5399999999999999,0.7799999999999998,0.8199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0067,4,79,26,66,54,-1,-1,-1,-1,-1,-1,-1,-1,13,B,0.3200000000000002,0.74,0.0599999999999999,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0068,4,45,11,69,47,-1,-1,-1,-1,-1,-1,-1,-1,64,C,0.62,0.06,0.9,0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0069,4,35,87,2,37,-1,-1,-1,-1,-1,-1,-1,-1,80,B,0.0999999999999999,0.8600000000000001,0.56,0.1400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0070,4,79,29,98,1,-1,-1,-1,-1,-1,-1,-1,-1,98,C,0.6200000000000001,0.38,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0071,4,0,90,49,5,-1,-1,-1,-1,-1,-1,-1,-1,51,C,0.02,0.2199999999999999,0.96,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0072,4,18,36,5,53,-1,-1,-1,-1,-1,-1,-1,-1,22,A,0.92,0.72,0.6599999999999999,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0073,4,73,25,92,59,-1,-1,-1,-1,-1,-1,-1,-1,75,A,0.96,0.0,0.6600000000000001,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0074,4,91,38,68,75,-1,-1,-1,-1,-1,-1,-1,-1,21,B,0.4,0.6599999999999999,0.06,0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0075,4,61,25,83,47,-1,-1,-1,-1,-1,-1,-1,-1,1,C,0.1999999999999999,0.52,0.6399999999999999,0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0076,4,98,83,88,95,-1,-1,-1,-1,-1,-1,-1,-1,59,B,0.2199999999999999,0.52,0.4199999999999999,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0077,4,88,82,55,95,-1,-1,-1,-1,-1,-1,-1,-1,19,D,0.38,0.2599999999999999,0.28,0.5200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0078,4,60,28,65,30,-1,-1,-1,-1,-1,-1,-1,-1,80,C,0.6,0.0399999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0079,4,55,52,58,32,-1,-1,-1,-1,-1,-1,-1,-1,3,D,0.0399999999999999,0.02,0.0999999999999999,0.4199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0080,4,50,78,77,41,-1,-1,-1,-1,-1,-1,-1,-1,27,D,0.54,0.0200000000000001,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0081,4,66,64,36,9,-1,-1,-1,-1,-1,-1,-1,-1,33,C,0.3399999999999999,0.38,0.94,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0082,4,76,24,21,80,-1,-1,-1,-1,-1,-1,-1,-1,76,A,1.0,0.0400000000000001,0.0999999999999999,0.9200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0083,4,11,90,17,75,-1,-1,-1,-1,-1,-1,-1,-1,48,D,0.2599999999999999,0.16,0.38,0.4600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0084,4,54,76,10,92,-1,-1,-1,-1,-1,-1,-1,-1,72,B,0.6400000000000001,0.9199999999999998,0.24,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0085,4,30,58,13,33,-1,-1,-1,-1,-1,-1,-1,-1,81,B,0.0200000000000001,0.5399999999999999,0.3600000000000001,0.0399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0086,4,70,93,3,33,-1,-1,-1,-1,-1,-1,-1,-1,66,A,0.92,0.4599999999999998,0.2599999999999999,0.3399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0087,4,54,43,59,34,-1,-1,-1,-1,-1,-1,-1,-1,0,D,0.08,0.1399999999999999,0.18,0.3199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0088,4,72,84,86,82,-1,-1,-1,-1,-1,-1,-1,-1,96,C,0.5199999999999998,0.76,0.8,0.7199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0089,4,18,14,2,79,-1,-1,-1,-1,-1,-1,-1,-1,70,D,0.0399999999999999,0.12,0.3600000000000001,0.8199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0090,4,69,66,97,58,-1,-1,-1,-1,-1,-1,-1,-1,86,C,0.6599999999999999,0.5999999999999999,0.7800000000000002,0.4399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0091,4,9,1,54,54,-1,-1,-1,-1,-1,-1,-1,-1,75,D,0.3199999999999999,0.4799999999999998,0.5800000000000001,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0092,4,42,21,43,71,-1,-1,-1,-1,-1,-1,-1,-1,64,D,0.56,0.1399999999999999,0.5800000000000001,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0093,4,35,46,89,12,-1,-1,-1,-1,-1,-1,-1,-1,77,C,0.16,0.38,0.7599999999999998,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0094,4,70,48,95,19,-1,-1,-1,-1,-1,-1,-1,-1,13,D,0.1399999999999999,0.3,0.6399999999999999,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0095,4,83,51,43,40,-1,-1,-1,-1,-1,-1,-1,-1,55,B,0.4399999999999999,0.92,0.76,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0096,4,17,47,5,44,-1,-1,-1,-1,-1,-1,-1,-1,86,C,0.3800000000000002,0.2199999999999999,0.6200000000000001,0.1599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0097,4,92,4,23,69,-1,-1,-1,-1,-1,-1,-1,-1,62,D,0.4000000000000001,0.16,0.2199999999999998,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0098,4,37,19,6,50,-1,-1,-1,-1,-1,-1,-1,-1,37,A,1.0,0.6399999999999999,0.3799999999999999,0.7400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0099,4,53,40,83,52,-1,-1,-1,-1,-1,-1,-1,-1,32,B,0.58,0.8400000000000001,0.0200000000000001,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0100,4,35,59,79,12,-1,-1,-1,-1,-1,-1,-1,-1,59,B,0.52,1.0,0.5999999999999999,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0101,4,11,72,25,63,-1,-1,-1,-1,-1,-1,-1,-1,31,C,0.6,0.1800000000000001,0.8799999999999999,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0102,4,97,60,19,92,-1,-1,-1,-1,-1,-1,-1,-1,4,A,0.8600000000000001,0.12,0.7,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0103,4,82,33,16,83,-1,-1,-1,-1,-1,-1,-1,-1,52,B,0.4000000000000001,0.6199999999999999,0.2799999999999999,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0104,4,71,94,11,97,-1,-1,-1,-1,-1,-1,-1,-1,8,C,0.2599999999999999,0.7200000000000002,0.94,0.7799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0105,4,6,71,40,39,-1,-1,-1,-1,-1,-1,-1,-1,36,D,0.4,0.3,0.92,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0106,4,1,93,17,91,-1,-1,-1,-1,-1,-1,-1,-1,75,D,0.4799999999999998,0.6399999999999999,0.16,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0107,4,66,62,56,18,-1,-1,-1,-1,-1,-1,-1,-1,81,A,0.6999999999999998,0.62,0.4999999999999999,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0108,4,13,44,85,72,-1,-1,-1,-1,-1,-1,-1,-1,81,C,0.3600000000000001,0.2599999999999999,0.9200000000000002,0.8199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0109,4,84,25,4,42,-1,-1,-1,-1,-1,-1,-1,-1,87,A,0.9400000000000004,0.24,0.6600000000000001,0.1000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0110,4,89,15,35,39,-1,-1,-1,-1,-1,-1,-1,-1,93,A,0.9200000000000002,0.56,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0111,4,89,60,50,29,-1,-1,-1,-1,-1,-1,-1,-1,68,B,0.5799999999999998,0.84,0.6399999999999999,0.2199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0112,4,1,47,88,84,-1,-1,-1,-1,-1,-1,-1,-1,99,A,0.96,0.0400000000000001,0.7799999999999998,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0113,4,83,63,0,36,-1,-1,-1,-1,-1,-1,-1,-1,90,A,0.8600000000000001,0.4600000000000001,0.8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0114,4,41,97,99,35,-1,-1,-1,-1,-1,-1,-1,-1,30,D,0.78,0.3399999999999999,0.3800000000000002,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0115,4,26,54,27,81,-1,-1,-1,-1,-1,-1,-1,-1,55,B,0.42,0.98,0.44,0.4799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0116,4,38,64,88,98,-1,-1,-1,-1,-1,-1,-1,-1,57,B,0.62,0.8600000000000001,0.38,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0117,4,6,58,94,25,-1,-1,-1,-1,-1,-1,-1,-1,39,D,0.3399999999999999,0.62,0.1000000000000002,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0118,4,42,80,38,76,-1,-1,-1,-1,-1,-1,-1,-1,81,B,0.2199999999999999,0.98,0.1399999999999999,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0119,4,88,27,45,28,-1,-1,-1,-1,-1,-1,-1,-1,44,C,0.12,0.6599999999999999,0.98,0.6799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0120,4,69,93,46,53,-1,-1,-1,-1,-1,-1,-1,-1,40,C,0.4199999999999999,0.06,0.88,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0121,4,27,50,39,60,-1,-1,-1,-1,-1,-1,-1,-1,20,A,0.86,0.4,0.62,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0122,4,15,72,42,20,-1,-1,-1,-1,-1,-1,-1,-1,62,B,0.0599999999999999,0.8000000000000002,0.6,0.1599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0123,4,11,69,17,88,-1,-1,-1,-1,-1,-1,-1,-1,70,B,0.18,0.98,0.06,0.6399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0124,4,17,7,36,22,-1,-1,-1,-1,-1,-1,-1,-1,63,C,0.0799999999999998,0.1200000000000001,0.4599999999999998,0.1799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0125,4,91,32,11,73,-1,-1,-1,-1,-1,-1,-1,-1,59,D,0.3599999999999999,0.4599999999999999,0.0399999999999999,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0126,4,69,61,4,1,-1,-1,-1,-1,-1,-1,-1,-1,0,D,0.38,0.2199999999999999,0.92,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0127,4,9,8,74,11,-1,-1,-1,-1,-1,-1,-1,-1,76,C,0.3400000000000001,0.3600000000000001,0.96,0.3000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0128,4,19,52,36,31,-1,-1,-1,-1,-1,-1,-1,-1,21,A,0.96,0.38,0.7000000000000001,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0129,4,75,64,90,18,-1,-1,-1,-1,-1,-1,-1,-1,5,D,0.4,0.18,0.7,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0130,4,40,0,99,43,-1,-1,-1,-1,-1,-1,-1,-1,88,C,0.0399999999999999,0.76,0.7799999999999998,0.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
